Southampton Itchen,SE
Southampton Test,SE
Southend West,E
Southport,NW
Spelthorne,SE
St Albans,E
St Austell and Newquay,SW
St Helens North,NW
St Helens South and Whiston,NW
St Ives,SW
Stafford,WM
Staffordshire Moorlands,WM
Stalybridge and Hyde,NW
Stevenage,E
Stirling,SCO
Stockport,NW
Stockton North,NE
Stockton South,NE
Stoke-On-Trent Central,WM
Stoke-On-Trent North,WM
Stoke-On-Trent South,WM
Stone,WM
Stourbridge,WM
Strangford,NI
Stratford-On-Avon,WM
Streatham,LDN
Stretford and Urmston,NW
Stroud,SW
Suffolk Coastal,E
Sunderland Central,NE
Surrey Heath,SE
Sutton and Cheam,LDN
Sutton Coldfield,WM
Swansea East,WAL
Swansea West,WAL
Tamworth,WM
Tatton,NW
Taunton Deane,SW
Telford,WM
Tewkesbury,SW
The Cotswolds,SW
The Wrekin,WM
Thirsk and Malton,YOR
Thornbury and Yate,SW
Thurrock,E
Tiverton and Honiton,SW
Tonbridge and Malling,SE
Tooting,LDN
Torbay,SW
Torfaen,WAL
Torridge and West Devon,SW
Totnes,SW
Tottenham,LDN
Truro and Falmouth,SW
Tunbridge Wells,SE
Twickenham,LDN
Tynemouth,NE
Upper Bann,NI
Uxbridge and South Ruislip,LDN
Vale Of Clwyd,WAL
Vale Of Glamorgan,WAL
Vauxhall,LDN
Wakefield,YOR
Wallasey,NW
Walsall North,WM
Walsall South,WM
Walthamstow,LDN
Wansbeck,NE
Wantage,SE
Warley,WM
Warrington North,NW
Warrington South,NW
Warwick and Leamington,WM
Washington and Sunderland West,NE
Watford,E
Waveney,E
Wealden,SE
Weaver Vale,NW
Wellingborough,EM
Wells,SW
Welwyn Hatfield,E
Wentworth and Dearne,YOR
West Aberdeenshire and Kincardine,SCO
West Bromwich East,WM
West Bromwich West,WM
West Dorset,SW
West Dunbartonshire,SCO
West Ham,LDN
West Lancashire,NW
West Suffolk,E
West Tyrone,NI
West Worcestershire,WM
Westminster North,LDN
Westmorland and Lonsdale,NW
Weston-Super-Mare,SW
Wigan,NW
Wimbledon,LDN
Winchester,SE
Windsor,SE
Wirral South,NW
Wirral West,NW
Witham,E
Witney,SE
Woking,SE
Wokingham,SE
Wolverhampton North East,WM
Wolverhampton South East,WM
Wolverhampton South West,WM
Worcester,WM
Workington,NW
Worsley and Eccles South,NW
Worthing West,SE
Wrexham,WAL
Wycombe,SE
Wyre and Preston North,NW
Wyre Forest,WM
Wythenshawe and Sale East,NW
Yeovil,SW
Ynys Mon,WAL
York Central,YOR
York Outer,YOR
